 Sonnet Data File
 From: em Version : 14.52
 From Project: matlab_proj
 Data is De-embedded 
 Data File Written: 11/15/2018 14:45:37
Project Date: 11/15/2018 14:45:8
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
1.000000000000000,4.6239830693e-6,0.0017643864154,0.9999950092392,-2.620766241e-3,0.9999950092392,-2.620766241e-3,4.6241517933e-6,0.0017643864148
1.025000000000000,4.8582693363e-6,0.0018085044642,0.9999947565533,-2.686290879e-3,0.9999947565533,-2.686290879e-3,4.8584473124e-6,0.0018085044636
1.050000000000000,5.0983338053e-6,0.0018526224068,0.9999944976278,-2.751815459e-3,0.9999944976278,-2.751815459e-3,5.0985212527e-6,0.0018526224061
1.075000000000000,5.3441764783e-6,0.0018967402426,0.9999942324628,-2.817339982e-3,0.9999942324628,-2.817339982e-3,5.3443736164e-6,0.0018967402419
1.100000000000000,5.5957973574e-6,0.0019408579711,0.9999939610584,-2.882864447e-3,0.9999939610584,-2.882864447e-3,5.5960044054e-6,0.0019408579704
1.125000000000000,5.8531964443e-6,0.0019849755917,0.9999936834144,-2.948388851e-3,0.9999936834144,-2.948388851e-3,5.8534136214e-6,0.0019849755910
1.150000000000000,6.1163737407e-6,0.0020290931039,0.9999933995310,-3.013913196e-3,0.9999933995310,-3.013913196e-3,6.1166012661e-6,0.0020290931031
1.175000000000000,6.3853292480e-6,0.0020732105070,0.9999931094081,-3.079437479e-3,0.9999931094081,-3.079437479e-3,6.3855673410e-6,0.0020732105062
1.200000000000000,6.6600629676e-6,0.0021173278006,0.9999928130457,-3.144961701e-3,0.9999928130457,-3.144961701e-3,6.6603118475e-6,0.0021173277996
1.225000000000000,6.9405749006e-6,0.0021614449839,0.9999925104440,-3.210485859e-3,0.9999925104440,-3.210485859e-3,6.9408347867e-6,0.0021614449830
1.250000000000000,7.2268650482e-6,0.0022055620566,0.9999922016028,-3.276009954e-3,0.9999922016028,-3.276009954e-3,7.2271361596e-6,0.0022055620556
1.275000000000000,7.5189334112e-6,0.0022496790179,0.9999918865222,-3.341533985e-3,0.9999918865222,-3.341533985e-3,7.5192159673e-6,0.0022496790169
1.300000000000000,7.8167799903e-6,0.0022937958674,0.9999915652022,-3.407057950e-3,0.9999915652022,-3.407057950e-3,7.8170742103e-6,0.0022937958663
1.325000000000000,8.1204047862e-6,0.0023379126045,0.9999912376429,-3.472581849e-3,0.9999912376429,-3.472581849e-3,8.1207108894e-6,0.0023379126033
1.350000000000000,8.4298077993e-6,0.0023820292285,0.9999909038442,-3.538105682e-3,0.9999909038442,-3.538105682e-3,8.4301260049e-6,0.0023820292273
1.375000000000000,8.7449890298e-6,0.0024261457390,0.9999905638062,-3.603629446e-3,0.9999905638062,-3.603629446e-3,8.7453195573e-6,0.0024261457377
1.400000000000000,9.0659484781e-6,0.0024702621353,0.9999902175288,-3.669153142e-3,0.9999902175288,-3.669153142e-3,9.0662915465e-6,0.0024702621339
1.425000000000000,9.3926861440e-6,0.0025143784170,0.9999898650122,-3.734676769e-3,0.9999898650122,-3.734676769e-3,9.3930419727e-6,0.0025143784155
